title,image_id,collection,dates,description,dimensions,media_type,subjects,av_formats,rights,image_filename,source
Tom Greene starboard view,SC#240-008,Muster Collection,1932,"View of the Tom Greene on the river, Christmas Card",8 x 10,Photograph,Steamboats -- Ohio -- Cincinnati,Photo print,All rights reserved. Contact the CMC photo curator for copies or permission.,001_Tom_Greene_starboard_view.jpg,Cincinnati Museum Center
Queen City steamboat,SC#21-4169,Paul Briol Collection,circa 1940,View of Queen City steamboat.,8 x 10,Photograph,Queen City (Steamboat),Photo print,All rights reserved. Contact the CMC photo curator for copies or permission.,002_Queen_City_steamboat.jpg,Cincinnati Museum Center
802 W. 5th Street,SC#115-2045,Kenyon Barr Collection,08/01/1959,"Structure at 802 West Fifth Street. Fifth Ave. Billiard Parlor, Sho' Card Writer. Kenyon Barr project # 7-1939",3.5 x 3.5,Photograph,Housing -- Ohio -- Cincinnati,Photo print,All rights reserved. Contact the CMC photo curator for copies or permission.,003_802_W_5th_Street.jpg,Cincinnati Museum Center
Delta Queen Passes Wisconsin Hills,SC#240-230,Muster Collection,1970's,"Postcard with the description ""Sailing up the Mississippi, America's famous paddlewheel steamboat carries passengers from New Orleans to St. Louis and St. Paul.""",3.5 x 5.5,Photograph,Delta Queen (Steamboat),Photo print,All rights reserved. Contact the CMC photo curator for copies or permission.,004_Delta_Queen_Passes_Wisconsin_Hills.jpg,Cincinnati Museum Center
New York Central Railroad Engine #3148,SC#296-4145B,Rombach & Groene Collection,09/02/1954,Camera in cab of Engine No. 3148 at the Cincinnati Union Terminal showing slubge blow off cock open,8 x 10,Photograph,Engines -- Ohio -- Cincinnati,Film negative,All rights reserved. Contact the CMC photo curator for copies or permission.,005_New_York_Central_Railroad_Engine_3148.jpg,Cincinnati Museum Center
Shelter Building in Lincoln Park,SC#319-028,CUT Progress Photographs Collection,05/05/1931,#41.19  Shelter building in Lincoln Park looking West,8 x 10,Photograph,Parks -- Ohio -- Cincinnati,Photo print,All rights reserved. Contact the CMC photo curator for copies or permission.,006_Shelter_Building_in_Lincoln_Park.jpg,Cincinnati Museum Center
807 Kenyon Street,SC#115-1221,Kenyon Barr Collection,06/01/1959,Structure at 807 Kenyon Street. A group of four African-American boys and one girl stand next to the man holding the Kenyon Barr sign. Kenyon Barr project # 3-1211.,3.5 x 3.5,Photograph,African American children - Ohio - Cincinnati,Photo print,All rights reserved. Contact the CMC photo curator for copies or permission.,007_807_Kenyon_Street.jpg,Cincinnati Museum Center
709 Melvin Street,SC#115-1304,Kenyon Barr Collection,07/14/1959,Lot at 709 Melvin Street.  Kenyon Barr project # 10-1400,3.5 x 3.5,Photograph,Housing -- Ohio -- Cincinnati,Photo print,All rights reserved. Contact the CMC photo curator for copies or permission.,008_709_Melvin_Street.jpg,Cincinnati Museum Center
"Spring Grove Cemetery Entrance, 4521 Spring Grove Avenue",SC#296-1024,Rombach & Groene Collection,1900-1910,"Spring Grove Cemetery, 4521 Spring Grove Avenue, was dedicated in 1845. The main gateway is flanked by office buildings erected between 1853 and 1867. They are designed in a Norman Gothic style planned by the Cincinnati architect James K. Wilson. The picture is of the entrance from inside the gates.",8 x 10,Photograph,Cemeteries -- Ohio -- Cincinnati,Glass negative,All rights reserved. Contact the CMC photo curator for copies or permission.,009_Spring_Grove_Cemetery_Entrance_4521_Spring_Grove_A.jpg,Cincinnati Museum Center
918 Richmond Street,SC#115-1581,Kenyon Barr Collection,04/13/1959,Structure at 918 Richmond Street. Kenyon Barr project # 2U-75,3.5 x 3.5,Photograph,Housing -- Ohio -- Cincinnati,Photo print,All rights reserved. Contact the CMC photo curator for copies or permission.,010_918_Richmond_Street.jpg,Cincinnati Museum Center
